"";"ID";"spname";"position"
"145";"18";"Sphaeralcea mendocina";"match"
"146";"18";"Ephedra ochreata";"match"
"147";"18";"Chuquiraga rosulata";"match"
"148";"18";"Geoffroea decorticans";"match"
"149";"18";"Lycium chilense";"match"
"150";"18";"Glandularia parodii";"match"
"151";"18";"Brachyclados lycioides";"match"
"152";"18";"Prosopis flexuosa";"match"
"153";"18";"Baccharis ulicina";"match"
"154";"18";"Conyza lorentzii";"fac_only"
"155";"18";"Hysterionica jasionoides";"fac_only"
"156";"18";"Nassella longiglumis";"fac_only"
"157";"18";"Nassella chilensis";"fac_only"
"158";"18";"Aristida mendocina";"fac_only"
"159";"18";"Senecio melanopotamicus";"fac_only"
"160";"18";"Trichocline sinuata";"fac_only"
"161";"18";"Bredemeyera microphylla";"fac_only"
"162";"18";"Baccharis crispa";"fac_only"
"163";"18";"Junellia seriphioides";"fac_only"
"164";"18";"Boopis anthemoides";"fac_only"
"165";"18";"Baccharis 3";"fac_only"
"166";"18";"Cereus ethiops";"fac_only"
"167";"18";"Poa ligularis";"fac_only"
"168";"18";"Hoffmannseggia trifoliata";"fac_only"
"169";"18";"Abyssinica sil";"fac_only"
"170";"18";"Musgo";"fac_only"
"171";"18";"Capparis atamisquea";"FT_only"
"172";"19";"Nassella longiglumis";"match"
"173";"19";"Chuquiraga erinacea";"match"
"174";"19";"Schinus johnstonii";"match"
"175";"19";"Lycium chilense";"match"
"176";"19";"Pappostipa speciosa";"match"
"177";"19";"Larrea divaricata";"match"
"178";"19";"Larrea cuneifolia";"match"
"179";"19";"Mulguraea aspera";"match"
"180";"19";"Nassella tenuis";"match"
"181";"19";"Tetraglochin caespitosum";"match"
"182";"19";"Gutierrezia baccharoides";"match"
"183";"19";"Poa ligularis";"match"
"184";"19";"Bougainvillea spinosa";"match"
"185";"19";"Acantholippia seriphioides";"match"
"186";"19";"Monttea aphylla";"match"
"187";"19";"Thymophylla pentachaeta";"fac_only"
"188";"19";"Junellia seriphioides";"fac_only"
"189";"19";"Poa lanuginosa";"fac_only"
"190";"19";"Ephedra ochreata";"fac_only"
"191";"19";"Boopis anthemoides";"fac_only"
"192";"19";"Lycium gilliesianum";"fac_only"
"193";"19";"Tristagma patagonicum";"fac_only"
"194";"19";"Echinopsis leucantha";"fac_only"
"195";"19";"Hoffmannseggia trifoliata";"fac_only"
"196";"19";"Margyricarpus pinnatus";"fac_only"
"197";"19";"Senecio melanopotamicus";"fac_only"
"198";"19";"Condalia microphylla";"FT_only"
"199";"19";"Prosopis alpataco";"FT_only"
"200";"19";"Senecio subulatus";"FT_only"
"201";"20";"Prosopis flexuosa";"match"
"202";"20";"Sphaeralcea mendocina";"match"
"203";"20";"Ephedra ochreata";"match"
"204";"20";"Gutierrezia baccharoides";"match"
"205";"20";"Chuquiraga erinacea";"match"
"206";"20";"Poa ligularis";"match"
"207";"20";"Schinus johnstonii";"match"
"208";"20";"Pappostipa speciosa";"match"
"209";"20";"Lycium chilense";"match"
"210";"20";"Nassella tenuis";"match"
"211";"20";"Larrea divaricata";"match"
"212";"20";"Monttea aphylla";"match"
"213";"20";"Acantholippia seriphioides";"match"
"214";"20";"Poa lanuginosa";"match"
"215";"20";"Senecio melanopotamicus";"fac_only"
"216";"20";"Junellia seriphioides";"fac_only"
"217";"20";"Mulguraea aspera";"fac_only"
"218";"20";"Boopis anthemoides";"fac_only"
"219";"20";"Nassella longiglumis";"fac_only"
"220";"20";"Tetraglochin caespitosum";"fac_only"
"221";"20";"Nassella chilensis";"fac_only"
"222";"20";"Hoffmannseggia trifoliata";"fac_only"
"223";"20";"Grindelia spp.";"fac_only"
"224";"20";"Condalia microphylla";"FT_only"
"225";"20";"Lycium gilliesianum";"FT_only"
"226";"20";"Larrea cuneifolia";"FT_only"
"227";"20";"Cyclolepis genistoides";"FT_only"
"228";"21";"Prosopis flexuosa";"match"
"229";"21";"Lycium chilense";"match"
"230";"21";"Tetraglochin caespitosum";"match"
"231";"21";"Ephedra ochreata";"match"
"232";"21";"Chuquiraga erinacea";"match"
"233";"21";"Monttea aphylla";"match"
"234";"21";"Nassella tenuis";"match"
"235";"21";"Senna aphylla";"match"
"236";"21";"Larrea divaricata";"match"
"237";"21";"Gutierrezia baccharoides";"match"
"238";"21";"Acantholippia seriphioides";"match"
"239";"21";"Pappostipa speciosa";"match"
"240";"21";"Junellia seriphioides";"fac_only"
"241";"21";"Senecio melanopotamicus";"fac_only"
"242";"21";"Boopis anthemoides";"fac_only"
"243";"21";"Grindelia chiloensis";"fac_only"
"244";"21";"Poa lanuginosa";"fac_only"
"245";"21";"Baccharis gilliesii";"fac_only"
"246";"21";"Poa ligularis";"fac_only"
"247";"21";"Jarava neaei";"fac_only"
"248";"21";"Mulguraea aspera";"fac_only"
"249";"21";"Thymophylla pentachaeta";"fac_only"
"250";"21";"Condalia microphylla";"FT_only"
"251";"21";"Cyclolepis genistoides";"FT_only"
"252";"21";"Schinus johnstonii";"FT_only"
"253";"40";"Sida fibulifera";"match"
"254";"40";"Atriplex vesicaria";"match"
"255";"40";"Maireana turbinata";"match"
"256";"40";"Sclerolaena lanicuspis";"match"
"257";"40";"Sida corrugata";"match"
"258";"40";"Lotus cruentus";"match"
"259";"40";"Sclerolaena ventricosa";"match"
"260";"40";"Maireana pyramidata";"match"
"261";"40";"Sclerolaena divaricata";"match"
"262";"40";"Minuria cunninghamii";"match"
"263";"40";"Sclerolaena brachyptera";"match"
"264";"40";"Minuria leptophylla";"fac_only"
"265";"40";"Eragrostis dielsii";"fac_only"
"266";"40";"Sclerolaena eriacantha";"FT_only"
"267";"40";"Sporobolus actinocladus";"FT_only"
"268";"40";"Anemocarpa podolepidium";"FT_only"
"269";"40";"Sclerolaena decurrens";"FT_only"
"270";"40";"Malacocera tricornis";"FT_only"
"271";"40";"Sclerolaena bicornis";"FT_only"
"272";"41";"Maireana pyramidata";"match"
"273";"41";"Sclerolaena obliquicuspis";"match"
"274";"41";"Sclerolaena patenticuspis";"match"
"275";"41";"Austrostipa scabra";"match"
"276";"41";"Enneapogon avenaceus";"match"
"277";"41";"Solanum quadriloculatum";"fac_only"
"278";"41";"Enteropogon acicularis";"FT_only"
"279";"41";"Austrodanthonia caespitosa";"FT_only"
"280";"41";"Eragrostis setifolia";"FT_only"
"281";"41";"Lotus cruentus";"FT_only"
"282";"42";"Austrostipa scabra";"match"
"283";"42";"Sclerolaena lanicuspis";"match"
"284";"42";"Atriplex vesicaria";"match"
"285";"42";"Eragrostis setifolia";"match"
"286";"42";"Austrodanthonia caespitosa";"match"
"287";"42";"Sclerolaena brachyptera";"match"
"288";"42";"Sclerolaena ventricosa";"match"
"289";"42";"Lotus cruentus";"match"
"290";"42";"Sclerolaena divaricata";"match"
