"";"ID";"spname";"position"
"145";"18";"Conyza lorentzii";"match"
"146";"18";"Amelichloa ambigua";"match"
"147";"18";"Baccharis gilliesii";"match"
"148";"18";"Prosopidastrum globosum";"match"
"149";"18";"Poa lanuginosa";"match"
"150";"18";"Larrea divaricata";"match"
"151";"18";"Baccharis melanopotamica";"match"
"152";"18";"Pappostipa speciosa";"match"
"153";"18";"Lycium gilliesianum";"match"
"154";"18";"Pappostipa humilis";"match"
"155";"18";"Sphaeralcea mendocina";"match"
"156";"18";"Ephedra ochreata";"match"
"157";"18";"Prosopis flexuosa";"match"
"158";"18";"Chuquiraga rosulata";"match"
"159";"18";"Geoffroea decorticans";"match"
"160";"18";"Cardionema ramosissima";"match"
"161";"18";"Lycium chilense";"match"
"162";"18";"Glandularia parodii";"match"
"163";"18";"Brachyclados lycioides";"match"
"164";"18";"Prosopis flexuosa";"match"
"165";"18";"Baccharis ulicina";"match"
"166";"18";"Schinus johnstonii";"match"
"167";"18";"Hysterionica jasionoides";"fac_only"
"168";"18";"Nassella longiglumis";"fac_only"
"169";"18";"Nassella chilensis";"fac_only"
"170";"18";"Aristida mendocina";"fac_only"
"171";"18";"Senecio melanopotamicus";"fac_only"
"172";"18";"Trichocline sinuata";"fac_only"
"173";"18";"Bredemeyera microphylla";"fac_only"
"174";"18";"Junellia seriphioides";"fac_only"
"175";"18";"Boopis anthemoides";"fac_only"
"176";"18";"Baccharis 3";"fac_only"
"177";"18";"Cereus ethiops";"fac_only"
"178";"18";"Poa ligularis";"fac_only"
"179";"18";"Hoffmannseggia trifoliata";"fac_only"
"180";"18";"Abyssinica sil";"fac_only"
"181";"18";"Musgo";"fac_only"
"182";"18";"Capparis atamisquea";"FT_only"
"183";"19";"Chuquiraga erinacea";"match"
"184";"19";"Larrea divaricata";"match"
"185";"19";"Larrea cuneifolia";"match"
"186";"19";"Schinus johnstonii";"match"
"187";"19";"Mulguraea aspera";"match"
"188";"19";"Nassella tenuis";"match"
"189";"19";"Lycium chilense";"match"
"190";"19";"Pappostipa speciosa";"match"
"191";"19";"Boopis anthemoides";"match"
"192";"19";"Nassella longiglumis";"match"
"193";"19";"Tetraglochin caespitosum";"match"
"194";"19";"Gutierrezia baccharoides";"match"
"195";"19";"Poa ligularis";"match"
"196";"19";"Bougainvillea spinosa";"match"
"197";"19";"Acantholippia seriphioides";"match"
"198";"19";"Monttea aphylla";"match"
"199";"19";"Thymophylla pentachaeta";"fac_only"
"200";"19";"Junellia seriphioides";"fac_only"
"201";"19";"Poa lanuginosa";"fac_only"
"202";"19";"Ephedra ochreata";"fac_only"
"203";"19";"Lycium gilliesianum";"fac_only"
"204";"19";"Tristagma patagonicum";"fac_only"
"205";"19";"Echinopsis leucantha";"fac_only"
"206";"19";"Hoffmannseggia trifoliata";"fac_only"
"207";"19";"Margyricarpus pinnatus";"fac_only"
"208";"19";"Senecio melanopotamicus";"fac_only"
"209";"19";"Senecio subulatus";"FT_only"
"210";"19";"Prosopis denudans";"FT_only"
"211";"19";"Condalia microphylla";"FT_only"
"212";"19";"Prosopis flexuosa";"FT_only"
"213";"19";"Prosopis alpataco";"FT_only"
"214";"20";"Ephedra ochreata";"match"
"215";"20";"Gutierrezia baccharoides";"match"
"216";"20";"Chuquiraga erinacea";"match"
"217";"20";"Lycium chilense";"match"
"218";"20";"Nassella tenuis";"match"
"219";"20";"Prosopis flexuosa";"match"
"220";"20";"Larrea divaricata";"match"
"221";"20";"Sphaeralcea mendocina";"match"
"222";"20";"Monttea aphylla";"match"
"223";"20";"Poa ligularis";"match"
"224";"20";"Schinus johnstonii";"match"
"225";"20";"Acantholippia seriphioides";"match"
"226";"20";"Pappostipa speciosa";"match"
"227";"20";"Poa lanuginosa";"match"
"228";"20";"Senecio melanopotamicus";"fac_only"
"229";"20";"Junellia seriphioides";"fac_only"
"230";"20";"Mulguraea aspera";"fac_only"
"231";"20";"Boopis anthemoides";"fac_only"
"232";"20";"Nassella longiglumis";"fac_only"
"233";"20";"Tetraglochin caespitosum";"fac_only"
"234";"20";"Nassella chilensis";"fac_only"
"235";"20";"Hoffmannseggia trifoliata";"fac_only"
"236";"20";"Grindelia spp.";"fac_only"
"237";"20";"Larrea cuneifolia";"FT_only"
"238";"20";"Condalia microphylla";"FT_only"
"239";"20";"Larrea nitida";"FT_only"
"240";"20";"Lycium gilliesianum";"FT_only"
"241";"20";"Cyclolepis genistoides";"FT_only"
"242";"21";"Poa lanuginosa";"match"
"243";"21";"Jarava neaei";"match"
"244";"21";"Ephedra ochreata";"match"
"245";"21";"Lycium chilense";"match"
"246";"21";"Chuquiraga erinacea";"match"
