"","COU","SITE_ID","ID","trait","Functional_group","n","mean","ci_low_mean","ci_high_mean","var","ci_low_var","ci_high_var","skew","ci_low_skew","ci_high_skew","kurt","ci_low_kurt","ci_high_kurt"
"1","Algeria","1","1","C_N_ratio",1,50,34.0900780273691,34.0900780273691,34.0900780273691,0,0,0,NA,NA,NA,NA,NA,NA
"2","Algeria","1","1","C_N_ratio",2,50,18.2390491163894,17.7532744259354,18.7248238068434,29.2708587452152,26.3135994023222,32.2281180881082,0.043509663193135,-0.162814313027272,0.249833639413542,-0.939674481960038,-1.57168042271076,-0.307668541209311
"3","Algeria","1","1","C_N_ratio",3,50,12.0930523586724,11.7892125358726,12.3968921814722,8.47549825264968,6.654083057563,10.2969134477364,1.27353691340086,1.13388792773958,1.41318589906213,1.93732524830264,1.25708893558298,2.61756156102229
"4","Algeria","1","1","MaxH",1,50,66,66,66,0,0,0,NA,NA,NA,NA,NA,NA
"5","Algeria","1","1","MaxH",2,50,8.386,8.16561999424,8.60638000575999,5.94889696969697,5.31160414621361,6.58618979318033,-0.0240391470324618,-0.259707344603333,0.21162905053841,-0.862397292735903,-1.30689384044949,-0.417900745022311
"6","Algeria","1","1","MaxH",3,50,8.4372,7.97094684987659,8.90345315012341,34.8309212121212,32.9653982727328,36.6964441515096,0.433555474646168,0.277834393582115,0.58927655571022,-1.6561455854778,-1.82578778862173,-1.48650338233386
"7","Algeria","1","1","MaxLS",1,50,8500,8500,8500,0,0,0,NA,NA,NA,NA,NA,NA
"8","Algeria","1","1","MaxLS",2,50,164.6072,149.794285744706,179.420114255294,17393.9140686869,14992.5943402324,19795.2337971413,0.84345715328448,0.617287579694511,1.06962672687445,-0.378610845726446,-0.996443680772265,0.239221989319374
"9","Algeria","1","1","MaxLS",3,50,59.7284,56.499049676761,62.957750323239,835.763741414141,687.471087039028,984.056395789255,0.655749596014304,0.468293538383671,0.843205653644937,-0.0168639541875853,-0.328408813272933,0.294680904897762
"10","Algeria","1","1","MeanLA",1,50,1.307304762,1.307304762,1.307304762,0,0,0,NA,NA,NA,NA,NA,NA
"11","Algeria","1","1","MeanLA",2,50,0.623644237197,0.596143231832659,0.651145242561341,0.0838473088192995,0.0711754274847485,0.0965191901538505,1.01395424760929,0.843859634788966,1.18404886042962,0.668940434492473,0.0330669156837018,1.30481395330125
