"","ID","nsp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ"
"1","1",16,0.26832475704545,0.617619220048253,0.522585367785081,0.693380570078669,"0.269895217617013","0.0822938406746045"
"2","16",17,0.227918522009917,0.568307878691706,0.51065465444033,0.96714920422696,"0.197357143946275","0.0686767051587699"
"3","17",17,0.183285432403015,0.642890634809672,0.559562901240749,0.897267159790413,"0.295817366875013","0.103524034891098"
"4","18",24,0.245340955391232,0.444489604175476,0.530686453571365,0.829466592773695,"0.187749504670189","0.0402022738689218"
"5","19",24,0.296663913754828,0.352801702982866,0.563598490649056,0.912338927019671,"0.202274798817653","0.0448832054333659"
"6","20",26,0.254398298807549,0.397398395011016,0.347998452220095,0.832234558906785,"0.203626932050946","0.0429961542071835"
"7","21",18,0.278753760018543,0.522649063692279,0.450666315607833,0.535619199813778,"0.142771234428988","0.0273627669569427"
"8","40",18,20.398095401899,0.695537748064254,0.463142529711048,0.770064529875417,"2.49820167948861","7.11162432438572"
"9","42",15,15.2202819350034,0.678532115629808,0.516451641414144,0.625559554119421,"2.68307695724014","8.4518393638891"
"10","43",17,0.38427874023203,0.475660942845879,0.491719004162503,0.788630063165411,"0.132287535321511","0.0306942354031118"
"11","44",9,13.1368142412251,0.715379113984716,0.43185222788263,0.510503293738233,"1.15176271377007","2.1012139669291"
"12","45",14,0.228236868238904,0.531425486397482,0.191286686538059,0.923119371018366,"0.241195476919263","0.0657621470496163"
"13","46",15,0.259497252441937,0.489011588773222,0.384876139927725,0.819510723301554,"0.211429275371386","0.0473233618218364"
"14","48",9,12.1142079576003,0.767031538692685,0.320160794539183,0.995423686653989,"2.26032999190064","5.35704255497997"
"15","49",17,0.260795730382866,0.493443043244946,0.469841151474969,0.702695028833375,"0.119331374958158","0.0228594993784704"
"16","50",11,0.346257926851371,0.700491056228799,0.601767549288111,0.936994516068284,"0.15831584120468","0.0435884073138543"
"17","100",5,8.50481532627153,0.908878200873269,0.667034409744608,0.999882863662575,"0.00698267829529332","0.0167899529644931"
"18","102",12,0.40051236319202,0.596733251996256,0.416701302088154,0.892861626919535,"0.199826458550013","0.0450430952432415"
"19","134",9,0.174254386205327,0.743815918103776,0.705233871099653,0.921455967307828,"0.100342934184362","0.022389456347774"
"20","135",7,0.182593228596992,0.929098631862006,0.244287083442574,0.986125630093137,"0.034975583327625","0.0078709000926776"
"21","140",11,0.262926844769251,0.637207901784671,0.475301172697783,0.553837216022714,"0.184816798756427","0.0400249367151321"
"22","141",11,0.263897899852075,0.622992075438724,0.463478855024113,0.973553698189931,"0.130233920304661","0.0264123115008663"
"23","142",13,0.225092582553684,0.562430314342831,0.580120555499583,0.94698146172426,"0.172872933535916","0.0379422381327818"
"24","143",2,3.74165738677394,1,NA,NA,"0.0253597116506316","0.0474436762120217"
"25","144",4,9.36855920655043,0.958034446196189,0.234096914076183,0.582002307440061,"0.739791749590471","1.49272773121948"
"26","145",4,8.30540408350524,0.932753374324203,0.356914576094134,0.687478822740806,"1.39501895587253","2.88658762671629"
"27","146",4,0.239766980867868,0.909561569613374,0.639712458403133,0.968278244354402,"0.303444774538292","0.119253885891893"
"28","148",5,0.170474347726165,0.922958931711222,0.254089991280493,0.662064769261494,"0.0699579783558869","0.0150126330288288"
"29","149",6,0.276701469077198,0.782907972436401,0.376530991085633,0.722567463850073,"0.0944393138904317","0.0225592950463991"
"30","150",12,0.25586897308351,0.463574120946679,0.74652846576563,0.960564631182039,"0.12279441568187","0.0302757338751517"
"31","137",10,0.345349402184177,0.581185129240463,0.318911258042227,0.970347039043754,"0.118335913997374","0.0274751110779507"
"32","138",7,0.276430679369635,0.663786842300383,0.21873171787459,0.74773011139085,"0.212301054209319","0.0512810459159687"
"33","139",23,23.8139632012256,0.649493284764283,0.340892958917472,0.864361963956641,"2.76055972683546","8.91758805949157"
"34","155",29,0.263719559631802,0.439784101200603,0.494199896224814,0.970444067769822,"0.253497563478897","0.0726051353252372"
"35","159",39,0.354443674226077,0.365046228226988,0.606382998192379,0.797890052753672,"0.186344271497603","0.03824274807257"
"36","193",20,0.400457152922122,0.437068193525273,0.290991496097469,0.665941984301099,"0.133312381298166","0.0271337201953483"
"37","194",25,0.298766846210645,0.351876491954023,0.233273869236815,0.849347634641793,"0.181705968081755","0.0401912063464443"
"38","195",30,0.305317524788125,0.274095314897677,0.510155763523406,0.8229771466992,"0.188901807166394","0.0391635860189835"
"39","196",30,0.674658060072643,0.226332067398556,0.665274228719513,0.895265665094313,"0.172378554072865","0.034900440512454"
"40","197",28,0.596635482524988,0.241743867084603,0.506529641663862,0.865690379365713,"0.234085172523783","0.0560202601765302"
"41","198",32,0.426451751971413,0.248527414075712,0.451559612946056,0.941310812652282,"0.25576929783598","0.0668349868532566"
"42","199",33,0.538063384063421,0.20476417648033,0.589562667822949,0.852223063455576,"0.20323425626429","0.047109602119837"
