"","ID","nsp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ"
"1",1,"11","19.4119012458926","0.789349120903093","0.622240527361309","0.722293506638292","3.0150866002504","9.78987841684893"
"2",16,"12","0.153161351099344","0.736021144043737","0.477767783147627","0.961846948178323","0.189675557384855","0.0658266230918691"
"3",17,"13","0.159656996392075","0.722336970603569","0.592659832031441","0.904800757148601","0.29903673053909","0.106745990174887"
"4",18,"24","0.245340955391232","0.444489604175476","0.530686453571365","0.829466592773695","0.187749504670189","0.0402022738689218"
"5",19,"22","0.288944255754033","0.378266217269174","0.523082721051393","0.917157698309366","0.202686203782388","0.0450241822488799"
"6",20,"25","0.24934992462859","0.386950005807989","0.355340656209886","0.946975891315065","0.203501528169786","0.0429730374848731"
"7",21,"15","0.322865301468121","0.599789982370926","0.394499894805135","0.626158874362239","0.169664229642155","0.0390280526683871"
"8",40,"14","19.2293006994603","0.694141891735985","0.438660705483288","0.854026107087165","2.8424142360796","8.75522469754186"
"9",42,"12","13.2684165173788","0.703491625412346","0.537202439484213","0.633718978992305","2.58723621607214","7.52778873091839"
"10",43,"11","0.354553257014119","0.617224690063486","0.453943935769939","0.895941636347538","0.168019832397077","0.0470630971509397"
"11",44,"5","8.45678516949644","0.924327868195758","0.612602799411999","0.536631847932943","1.28438057842678","2.35344750530546"
"12",45,"10","12.4423193822518","0.787298156134428","0.128099079223845","0.892686868624037","2.50029569615451","7.00203766872554"
"13",46,"6","0.192370425999321","0.80867440600521","0.614009009728164","0.85199632336653","0.248768761728696","0.0675176867716577"
"14",48,"6","8.19754231292531","0.926616288134659","0.507918000592507","0.964026035701014","1.91261110772859","3.87643999908001"
"15",49,"11","16.9737082766889","0.808025953862138","0.48144582616189","0.663244715280149","1.85861470310738","4.45308626075405"
"16",50,"7","11.1187195922775","0.80633339937966","0.527962461581887","0.925600116175692","1.23769053754474","2.56454207503886"
"17",100,"4","5.3829882883428","0.950820016130341","0.500659431509596","0.999886895946575","0.00550467691685936","0.0127435582238171"
"18",102,"3","4.95927209253903","1","0.58871846714266","0.921033783683301","1.6211131567781","3.03029002194489"
"19",134,"5","0.184424432747939","0.972202647527581","0.302796885645368","0.942047191843563","0.135316692373657","0.0422003819353201"
"20",135,"5","7.74586227206791","0.992250299507084","0.0880523257669052","0.985140915721308","0.247377281669484","0.443124261448369"
"21",140,"8","0.262182263602252","0.690197517397274","0.273937157154865","0.612822252579348","0.196519420637952","0.0446499281814834"
"22",141,"10","0.259260037876321","0.637317484970292","0.311332786674013","0.971432461452275","0.130240672217905","0.026441511284634"
"23",142,"12","0.221842337178812","0.567212192574859","0.541137001945976","0.934746193203347","0.172488970538244","0.0378000833534674"
"24",143,"only one sp","only one sp","only one sp","only one sp","only one sp","only one sp","only one sp"
"25",144,"2","3.74165738677394","1",NA,NA,"1.65480784793509","3.0958620039589"
