"","COU","SITE_ID","ID","trait","Functional_group","n","mean","ci_low_mean","ci_high_mean","var","ci_low_var","ci_high_var","skew","ci_low_skew","ci_high_skew","kurt","ci_low_kurt","ci_high_kurt"
"1","Algeria","1","1","MaxH",2,50,8.4796,8.210709915484,8.748490084516,6.63871515151515,6.1204791880293,7.156951115001,-0.239590505438843,-0.445301737710089,-0.0338792731675977,-1.35842416169093,-1.66000255718481,-1.05684576619704
"2","Algeria","1","1","MaxH",3,50,11.0824,10.5701358780744,11.5946641219256,27.2129737373737,25.1181414762867,29.3078059984608,-0.388861957654213,-0.567040381026852,-0.210683534281575,-1.24537119513412,-1.36551568940753,-1.12522670086071
"3","Algeria","1","1","MaxH",4,50,66,66,66,0,0,0,NA,NA,NA,NA,NA,NA
"4","Algeria","1","1","MaxH",5,50,4,4,4,0,0,0,NA,NA,NA,NA,NA,NA
"5","Algeria","1","1","MaxLS",2,50,188.3292,174.626812774649,202.031587225351,16976.6877979798,15365.4974360357,18587.8781599239,0.463676080514781,0.279145120270268,0.648207040759294,-1.00727979072679,-1.15924729984861,-0.85531228160497
"6","Algeria","1","1","MaxLS",3,50,74.7188,66.9114372688131,82.5261627311869,4459.26415353535,820.06939147727,8098.45891559344,4.08410918366326,1.23626947517469,6.93194889215183,29.4839797288286,5.07220073830023,53.895758719357
"7","Algeria","1","1","MaxLS",4,50,8500,8500,8500,0,0,0,NA,NA,NA,NA,NA,NA
"8","Algeria","1","1","MaxLS",5,50,42,42,42,0,0,0,NA,NA,NA,NA,NA,NA
"9","Algeria","1","1","MeanLA",2,50,0.5210273242344,0.506251926491062,0.535802721977738,0.0216147560816922,0.0187814014491352,0.0244481107142493,-0.833258394346729,-1.09911359607874,-0.567403192614714,0.0451233625922734,-0.779171561982667,0.869418287167214
"10","Algeria","1","1","MeanLA",3,50,0.912785765274,0.857583775128116,0.967987755419884,0.283476483418478,0.228653320250689,0.338299646586266,1.42765544768482,1.23986237858426,1.61544851678537,1.35083729734537,0.538286647357168,2.16338794733357
"11","Algeria","1","1","MeanLA",4,50,1.307304762,1.307304762,1.307304762,0,0,0,NA,NA,NA,NA,NA,NA
"12","Algeria","1","1","MeanLA",5,50,1.364767725,1.364767725,1.364767725,0,0,0,NA,NA,NA,NA,NA,NA
