ID,spname,position,,
723,103,Heteropappus hispidus,FT_only,
724,103,Imperata cylindrica,FT_only,
725,103,Achnatherum capillata,FT_only,
726,103,Artemisia ordosica,FT_only,
727,103,Melilotus officinalis,FT_only,
728,114,Seriphidium borotalense,match,
729,114,Kochia prostrata,match,
730,114,Atraphaxis spinosa,match,
731,114,Ceretoides latens,fac_only,12
732,114,Seipa glareosa,fac_only,13
733,114,Stipa glareosa,FT_only,13
734,114,Ceratoides latens,FT_only,12
735,114,Anabasis aphylla,FT_only,
736,115,Haloxylon ammodendron,match,
737,115,Ferula sinkiangensis,match,
738,115,Petrosimonia sibirica,match,
739,115,Seriphidium borotalense,match,
740,115,Ceretoides latens,fac_only,16
741,115,Haloxylon ammodendron ,fac_only,
742,115,Ceratocarpus arenarius,fac_only,
743,115,Seipa glareosa,fac_only,14
744,115,Anabasisi aphylla,fac_only,15
745,115,Stipa glareosa,FT_only,14
746,115,Anabasis aphylla,FT_only,15
747,115,Ceratoides latens,FT_only,16
748,134,Artemisia sieberi,match,
749,134,Lappula barbata,match,
750,134,Stipa lessingiana,match,
751,134,Salsola arbusculiformis,match,
752,134,Acanthophyllum sp,fac_only,17
753,134,Ferula sp.,FT_only,
754,134,Acanthophyllum sp.,FT_only,17
755,134,Nonea caspica,FT_only,
756,134,Cousinia sp.,FT_only,
757,134,Astragalus sp.,FT_only,
758,134,Zygophyllum atriplicoides,FT_only,
759,134,Centaurea sp.,FT_only,
760,134,Acantholimon sp.,FT_only,
761,134,Cerasus pseudoprostrata,FT_only,
762,134,Cousinia arctotidifolia,FT_only,
763,134,Teucrium chamaedrys,FT_only,
764,135,Artemisia sieberi,match,
765,135,Salsola arbusculiformis,match,
766,135,Stipa lessingiana,match,
767,135,Lappula barbata,match,
768,135,Cousinia arctotidifolia,match,
769,135,Nonea caspica,match,
770,135,Astragalus sp.,FT_only,
771,135,Krascheninnikovia ceratoides,FT_only,
772,135,Acantholimon sp.,FT_only,
773,135,Centaurea sp.,FT_only,
774,135,Cousinia sp.,FT_only,
775,135,Zygophyllum atriplicoides,FT_only,
776,136,Lappula barbata,match,
777,136,Stipa lessingiana,match,
778,136,Salsola arbusculiformis,match,
779,136,Artemisia sieberi,match,
780,136,Cousinia arctotidifolia,fac_only,
781,136,Acantholimon sp,fac_only,17
782,136,Centaurea sp,fac_only,18
783,136,Nonea caspica,fac_only,
784,136,Astragalus sp.,fac_only,
785,136,5,fac_only,
786,136,Teucrium polium,FT_only,
787,136,Cousinia sp.,FT_only,
788,136,Acanthophyllum sp.,FT_only,
789,136,Centaurea sp.,FT_only,18
790,136,Acantholimon sp.,FT_only,17
791,137,Agropyron trichophorum,match,
792,137,Verbascum speciosum,match,
793,137,Convolvulus commutatus,match,
794,137,Medicago sativa,match,
795,137,Stachys turcomanica,match,
796,137,Achillea biebersteinii,match,
797,137,Artemisia sieberi,match,
798,137,Cousinia arctotidifolia,match,
799,137,Rhamnus pallasii,match,
800,137,Festuca valesiaca,match,
801,137,Galium tenuissimum,match,
802,137,Stipa lessingiana,match,
803,137,Eryngium caucasicum,match,
804,137,Scabiosa rotata,match,
805,137,Centaurea kotschyi,match,
806,137,Teucrium polium,match,
807,137,Phlomis herba-venti,match,
808,137,Asperula arvensis,match,
809,137,Paliurus spina,fac_only,35
810,137,Astragalus sp.,fac_only,
811,137,Melica ciliata,fac_only,
812,137,Dactylis glomerata,fac_only,
813,137,Alhagi camelorum,fac_only,
814,137,Teucrium chamaedrys,fac_only,
815,137,onobrychis sintenisii,fac_only,
816,137,Centaurea sp,fac_only,19
817,137,Echinops ritrodes,fac_only,
818,137,Salvia virgata,fac_only,
819,137,Dianthus orientalis,fac_only,
820,137,Crataegus azarolus,fac_only,
821,137,Crupina vulgaris,fac_only,
822,137,Cousinia decipiens,fac_only,
823,137,Potentilla recta,FT_only,
824,137,Haplophyllum acutifolium,FT_only,
825,137,Glycyrrhiza glabra,FT_only,
826,137,Paliurus spina-christi,FT_only,35
827,137,Centaurea sp.,FT_only,19
828,138,Achillea biebersteinii,match,
829,138,Asperula arvensis,match,
830,138,Convolvulus commutatus,match,
831,138,Rhamnus pallasii,match,
832,138,Stipa lessingiana,match,
833,138,Cousinia decipiens,match,
834,138,Scabiosa rotata,match,
835,138,Glycyrrhiza glabra,match,
836,138,Centaurea kotschyi,match,
837,138,Bromus tomentellus,match,
838,138,Eryngium caucasicum,match,
839,138,Astragalus sp.,match,
840,138,Festuca valesiaca,match,
841,138,Galium tenuissimum,match,
842,138,Dactylis glomerata,match,
843,138,Phlomis herba-venti,match,
844,138,Crupina vulgaris,match,
845,138,Hypericum elongatum,match,
846,138,Echinops ritrodes,match,
847,138,Medicago sativa,match,
848,138,Verbascum speciosum,match,
849,138,Paliurus spina,fac_only,36
850,138,Stipa barbata,fac_only,
851,138,Agropyron cristatum,fac_only,
852,138,Crataegus azarolus,fac_only,
853,138,Inula oculus-christi,fac_only,
854,138,Potentilla recta,fac_only,
855,138,Cerasus pseudoprostrata,fac_only,
856,138,Phlomis cancellata,fac_only,
857,138,Rosa persica,fac_only,
858,138,Melica ciliata,fac_only,
859,138,Centaurea sp,fac_only,
860,138,Teucrium chamaedrys,fac_only,
861,138,Centaurea virgata,fac_only,
862,138,Kochia prostrata,FT_only,
863,138,Zygophyllum sintenisii,FT_only,
864,138,Ferula sp.,FT_only,
865,138,Kochia sp.,FT_only,
866,138,Krascheninnikovia ceratoides,FT_only,
867,138,Salvia virgata,FT_only,
868,138,Paliurus spina-christi,FT_only,36
869,138,Poa bulbosa,FT_only,
870,138,Onobrychis sintenisii,FT_only,
871,138,Cousinia arctotidifolia,FT_only,
872,138,Agropyron trichophorum,FT_only,
873,138,Aegilops sp.,FT_only,
874,139,Echinops ritrodes,match,
875,139,Achillea biebersteinii,match,
876,139,Phlomis cancellata,match,
877,139,Inula oculus-christi,match,
878,139,Hypericum elongatum,match,
879,139,Agropyron trichophorum,match,
880,139,Galium tenuissimum,match,
881,139,Stipa lessingiana,match,
882,139,Convolvulus commutatus,match,
883,139,Asperula arvensis,match,
884,139,Medicago sativa,match,
885,139,Asparagus verticillatus,match,
886,139,Centaurea kotschyi,match,
887,139,Astragalus sp.,match,
888,139,Phlomis herba-venti,match,
889,139,Potentilla recta,match,
890,139,Salvia virgata,match,
891,139,Rhamnus pallasii,match,
892,139,Festuca valesiaca,match,
893,139,Dianthus orientalis,match,
894,139,Cerasus pseudoprostrata,match,
895,139,Eryngium caucasicum,match,
896,139,Scabiosa rotata,match,
897,139,Teucrium polium,match,
898,139,Dactylis glomerata,match,
899,139,Stachys turcomanica,match,
900,139,Paliurus spina-christi,match,
901,139,Crupina vulgaris,match,
902,139,Crataegus azarolus,match,
903,139,Teucrium chamaedrys,match,
904,139,Cousinia decipiens,match,
905,139,Haplophyllum acutifolium,match,
906,139,Verbascum speciosum,match,
907,139,Melica ciliata,match,
908,139,Paliurus spina,fac_only,
909,139,onobrychis sintenisii,fac_only,37
910,139,Kochia prostrata,fac_only,
911,139,Centaurea sp,fac_only,
912,139,Lappula barbata,fac_only,
913,139,Poa bulbosa,FT_only,
914,139,Kochia sp.,FT_only,
915,139,Digitaria sp.,FT_only,
916,139,Centaurea sp.,FT_only,
917,139,Onobrychis sintenisii,FT_only,37
918,139,Cousinia arctotidifolia,FT_only,
919,139,Berberis integerrima,FT_only,
920,140,Eremurus stenophyllus,match,
921,140,Stipa arabica,match,
922,140,Cerasus microcarpa,match,
923,140,Elymus repens,match,
924,140,Colchicum kotschyi,match,
925,140,Acantholimon erinaceum,match,
926,140,Artemisia kopetdaghensis,match,
927,140,Acantholimon raddeanum,match,
928,140,Verbascum cheiranthifolium,match,
929,140,Poa bulbosa,match,
930,140,Astragalus chrysostachys,match,
931,140,Iris songarica,fac_only,
932,140,Stachys turcomanica,fac_only,
933,140,Tulipa sp.,fac_only,
934,140,Euphorbia Boissieriana ,fac_only,38
935,140,Astragalus chryostachys,fac_only,
936,140,Galium humifusum,fac_only,
937,140,Peteropyrum aucheri,fac_only,
938,140,Acantholimon prostegium,fac_only,
939,140,Artemisia aucheri,fac_only,
940,140,Hordeum bulbosum,fac_only,
941,140,Phlomis cancellata,fac_only,
942,140,Allium xiphopetalum,fac_only,
943,140,Melica persica,fac_only,
944,140,Bunium cylindricum,FT_only,
945,140,Galium spurium,FT_only,
946,140,Polygonum sewerzowii,FT_only,
947,140,Cousinia sp.,FT_only,
948,140,Aethionema trivensis,FT_only,
949,140,Euphorbia boissieri,FT_only,38
950,140,Lactuca orientalis,FT_only,
951,140,Phlomoides labiosa,FT_only,
952,140,Leontodon asperrimus,FT_only,
953,140,Agropyron intermedium,FT_only,
954,140,Centaurea virgata,FT_only,
955,140,Ixiolirion tataricum,FT_only,
956,140,Ferula ovina,FT_only,
957,140,Phlomis herba-venti,FT_only,
958,140,Rosa persica,FT_only,
959,140,Lamium amplexicanule,FT_only,
960,140,Amygdalus spinosissima,FT_only,
961,141,Poa bulbosa,match,
962,141,Cirsium bornmuelleri,match,
963,141,Elymus repens,match,
964,141,Cerasus microcarpa,match,
965,141,Rosa persica,match,
966,141,Onobrychis verae,match,
967,141,Verbascum cheiranthifolium,match,
968,141,Acantholimon erinaceum,match,
969,141,Perovskia abrotanoides,match,
970,141,Eremurus stenophyllus,match,
971,141,Lactuca orientalis,match,
972,141,Acantholimon raddeanum,match,
973,141,Eryngium bungei,match,
974,141,Artemisia kopetdaghensis,match,
975,141,Convolvulus lineatus,match,
976,141,Astragalus jolderensis,fac_only,
977,141,Veronica capillipes,fac_only,
978,141,Artemisia aucheri,fac_only,
979,141,Acantholimon erinaceoum,fac_only,
980,141,Acanthophyllum korshinskyi,fac_only,
981,141,Galium humifusum,fac_only,
982,141,Onobrychis cornuta,fac_only,
983,141,Thesium kotschanum,fac_only,
984,141,Phlomis cancellata,fac_only,
985,141,Poa persica,fac_only,
986,141,Bunium cylindricum,fac_only,
987,141,Serratula latifolia,fac_only,
988,141,Melica persica,fac_only,
989,141,Marabium vulgare,fac_only,39
990,141,Elymus  elongatum,fac_only,
991,141,Tragopogon vedenskyi,fac_only,
992,141,Bothriochloa ischaemum,fac_only,
993,141,Agropyron intermedium,FT_only,
994,141,Marrubium vulgare,FT_only,39
995,141,Stipa arabica,FT_only,
996,141,Hymenocrater elegans,FT_only,
997,141,Cousinia sp.,FT_only,
998,141,Astragalus chrysostachys,FT_only,
999,141,Lamium amplexicanule,FT_only,
1000,141,Phlomis herba-venti,FT_only,
1001,141,Colchicum kotschyi,FT_only,
1002,141,Centaurea virgata,FT_only,
1003,141,Phlomoides labiosa,FT_only,
1004,141,Amygdalus spinosissima,FT_only,
1005,141,Bromus kopetdagensis,FT_only,
1006,141,Acanthophyllum glandulosum,FT_only,
1007,142,Acanthophyllum glandulosum,match,
1008,142,Bunium cylindricum,match,
1009,142,Acantholimon raddeanum,match,
1010,142,Elymus repens,match,
1011,142,Verbascum cheiranthifolium,match,
1012,142,Erysimum ischnostylum,match,
1013,142,Bupleurum falcatum,match,
1014,142,Taraxacum montanum,match,
1015,142,Artemisia kopetdaghensis,match,
1016,142,Lactuca orientalis,match,
1017,142,Astragalus chrysostachys,match,
1018,142,Rosa persica,match,
1019,142,Iris songarica,match,
1020,142,Poa bulbosa,match,
1021,142,Eremurus stenophyllus,match,
1022,142,Cirsium bornmuelleri,match,
1023,142,Crucianella gilanica,match,
1024,142,Centaurea virgata,match,
1025,142,Eryngium bungei,match,
1026,142,Artemisia aucheri,fac_only,
1027,142,Euphorbia Boissieriana ,fac_only,40
1028,142,Polygonatum sewerzowii ,fac_only,41
1029,142,Lappula barbata,fac_only,
1030,142,Heteranthelium piliferum,fac_only,
1031,142,Alyssum szowitsianum,fac_only,
1032,142,Festuca valesiaca,fac_only,
1033,142,Stipa arabica,fac_only,
1034,142,Tragopogon vedenskyi,fac_only,42
1035,142,Allium xiphopetalum,fac_only,
1036,142,Vicia subvillosa,fac_only,
1037,142,Stipa turkestanica,fac_only,
1038,142,Rochelia disperma,fac_only,
1039,142,Phlomis cancellata,fac_only,
1040,142,Agropyron sp.,fac_only,
1041,142,Ziziphora clinopodioides,fac_only,
1042,142,Eremopyrum bonaepartis,fac_only,
1043,142,Eremopyrum,fac_only,
1044,142,Thesium kotschanum,fac_only,43
1045,142,Ziziphora persica,fac_only,
1046,142,Acanthophyllum sp.,fac_only,
1047,142,Acantholimon erinaceoum,fac_only,44
1048,142,Juniperus polycarpos,FT_only,
1049,142,Bromus kopetdagensis,FT_only,
1050,142,Johrenia platycarpa,FT_only,
1051,142,Tragopogon vvedenskyi,FT_only,42
1052,142,Amygdalus spinosissima,FT_only,
1053,142,Polygonum sewerzowii,FT_only,41
1054,142,Bungardia crhysogonum,FT_only,
1055,142,Stipa caucasica,FT_only,
1056,142,Dianthus polylepis,FT_only,
1057,142,Cousinia sp.,FT_only,
1058,142,Melica persica,FT_only,
1059,142,Onobrychis verae,FT_only,
1060,142,Agropyron intermedium,FT_only,
1061,142,Convolvulus lineatus,FT_only,
1062,142,Leontodon asperrimus,FT_only,
1063,142,Cerasus microcarpa,FT_only,
1064,142,Phlomis herba-venti,FT_only,
1065,142,Euphorbia bungei,FT_only,
1066,142,Stipa barbata,FT_only,
1067,142,Rosa canina,FT_only,
1068,142,Thesium kotschyanum,FT_only,43
1069,142,Cardaria draba,FT_only,
1070,142,Acantholimon erinaceum,FT_only,44
1071,142,Euphorbia boissieri,FT_only,40
1072,142,Cotoneaster nummularius,FT_only,
1073,143,Dianthus polylepis,match,
1074,143,Centaurea iberica,match,
1075,143,Bupleurum falcatum,match,
1076,143,Stachys lavandulifolia,match,
1077,143,Cerasus microcarpa,match,
1078,143,Eremurus stenophyllus,match,
1079,143,Verbascum cheiranthifolium,match,
1080,143,Iris songarica,match,
1081,143,Convolvulus lineatus,match,
1082,143,Artemisia kopetdaghensis,match,
1083,143,Erysimum ischnostylum,match,
1084,143,Stipa arabica,match,
1085,143,Cousinia sp.,match,
1086,143,Ziziphora clinopodioides,match,
1087,143,Festuca valesiaca,match,
1088,143,Elymus repens,match,
1089,143,Melica persica,match,
1090,143,Eryngium bungei,match,
1091,143,Taraxacum montanum,match,
1092,143,Centaurea virgata,match,
1093,143,Rosa canina,match,
1094,143,Acanthophyllum glandulosum,match,
1095,143,Alyssum szowitsianum,match,
1096,143,Acantholimon raddeanum,match,
1097,143,Poa bulbosa,match,
1098,143,Lactuca orientalis,match,
1099,143,Crucianella gilanica,match,
1100,143,Astragalus chrysostachys,match,
1101,143,Rosa persica,match,
1102,143,Cirsium bornmuelleri,match,
1103,143,Cotoneaster nummularius,match,
1104,143,Bunium cylindricum,fac_only,
1105,143,Acantholimon erinaceoum,fac_only,45
1106,143,Heteranthelium piliferum ,fac_only,
1107,143,Euphorbia Boissieriana ,fac_only,
1108,143,Tragopogon vedenskyi,fac_only,46
1109,143,Acanthophyllum korshinskyi,fac_only,
1110,143,Heteranthelium piliferum,fac_only,
1111,143,Allium xiphopetalum,fac_only,
1112,143,Stipa turkestanica,fac_only,
1113,143,Bothriochloa ischaemum,fac_only,
1114,143,Rochelia disperma,fac_only,
1115,143,Juniperus polycarpos,fac_only,
1116,143,Lappula barbata,fac_only,
1117,143,Festuca valesiaca ,fac_only,
1118,143,Astragalus jolderensis,fac_only,
1119,143,Lactuca serriola,fac_only,
1120,143,Convolvulus arvensis,fac_only,
1121,143,Cirsiumbornmulleri,fac_only,
1122,143,stipa torcamanica,fac_only,
1123,143,Galium humifusum,fac_only,
1124,143,Scandix,fac_only,
1125,143,Acanthophyllum sp.,fac_only,
1126,143,Astragalus barbidens,FT_only,
1127,143,Bromus kopetdagensis,FT_only,
1128,143,Lonicera nummulariifolia,FT_only,
1129,143,Acantholimon erinaceum,FT_only,45
1130,143,Silene bupleuroides,FT_only,
1131,143,Amygdalus spinosissima,FT_only,
1132,143,Leontodon asperrimus,FT_only,
1133,143,Phlomis herba-venti,FT_only,
1134,143,Reseda lutea,FT_only,
1135,143,Hypericum scabrum,FT_only,
1136,143,Poa versicolor,FT_only,
1137,143,Tragopogon vvedenskyi,FT_only,46
1138,143,Colchicum kotschyi,FT_only,
1139,143,Agropyron intermedium,FT_only,
1140,143,Festuca ovina,FT_only,
1141,143,Rosa sp.,FT_only,
1142,144,Cirsium sp.,match,
1143,144,Anthemis triumfetti,match,
1144,144,Centaurea virgata,match,
1145,144,Ziziphora clinopodioides,match,
1146,144,Echinops koelzii,match,
1147,144,Cotoneaster nummularius,match,
1148,144,Teucrium polium,match,
1149,144,Poa bulbosa,match,
1150,144,Bothriochloa ischaemum,match,
1151,144,Quercus castaneifolia,match,
1152,144,Vincetoxicum scandens,match,
1153,144,Alyssopsis mollis,match,
1154,144,Astragalus jolderensis,match,
1155,144,Galium verum,match,
1156,144,Verbascum cheiranthifolium,match,
1157,144,Scabiosa columbaria,match,
1158,144,Melica ciliata,match,
1159,144,Dactylis glomerata,match,
1160,144,Stipa bromoides,match,
1161,144,Euphorbia falcata,match,
1162,144,Stipa arabica,match,
1163,144,Agropyron cristatum,match,
1164,144,Silene sp.,match,
1165,144,Hypericum scabrum,match,
1166,144,Paliurus spina-christi,fac_only,
1167,144,Aractium  lappal,fac_only,
1168,144,Thymus transcaspius,fac_only,
1169,144,Dracocephalum kotschy,fac_only,49
1170,144,Tragopogon vedenskyi,fac_only,48
1171,144,Astragalus verus,fac_only,
1172,144,Astragalus verus ,fac_only,
1173,144,Callipeltis cucullaria,fac_only,
1174,144,Acinos graveolens,fac_only,
1175,144,Lactuca serriola,fac_only,
1176,144,Fumana procumbens,fac_only,
1177,144,Cleistogenes seratina,fac_only,50
1178,144,Carex halleriana,fac_only,
1179,144,Stachys turcomanica,fac_only,
1180,144,Lappula microcarpa,fac_only,
1181,144,Tragopogon graminifolius,fac_only,
1182,144,Hymenocrater elegans,fac_only,
1183,144,Haplophyllum acutifolium,fac_only,
1184,144,Leontodon asperrimus ,fac_only,
1185,144,Elymus repens,fac_only,
1186,144,Artemisia kopetdaghensis,fac_only,
1187,144,Eremurus stenophyllus ,fac_only,
1188,144,Colutea buhsei,fac_only,
1189,144,Ephedra major ,fac_only,
1190,144,Ziziphora persica,fac_only,
1191,144,Phlomis cancellata,fac_only,
1192,144,Rosa persica,fac_only,
1193,144,Centaurea sintenisiana,fac_only,
1194,144,Cerasus microcarpa,fac_only,
1195,144,Hymenocrater,fac_only,
1196,144,Cousinia stahliana,fac_only,
1197,144,Acanthophyllum sp.,fac_only,
1198,144,Noaea mucronata,fac_only,
1199,144,Rochelia disperma,fac_only,
1200,144, Allium fibrosum,fac_only,47
1201,144,Rumex tuberosus,fac_only,
1202,144,Salvia sclarea,fac_only,
1203,144,Hordeum bulbosum,fac_only,
1204,144,Lappula barbata,fac_only,
1205,144,Allium fibrosum,FT_only,47
1206,144,Thymus transcaspicus,FT_only,
1207,144,Astragalus chrysostachys,FT_only,
1208,144,Iris songarica,FT_only,
1209,144,Origanum vulgare,FT_only,
1210,144,Achillea biebersteinii,FT_only,
1211,144,Pterocephalus plumosus,FT_only,
1212,144,Crataegus microphylla,FT_only,
1213,144,Berberis integerrima,FT_only,
1214,144,Asperula arvensis,FT_only,
1215,144,Melica persica,FT_only,
1216,144,Tragopogon vvedenskyi,FT_only,48
1217,144,Dracocephalum kotschyi,FT_only,49
1218,144,Sanguisorba minor,FT_only,
1219,144,Cleistogenes serotina,FT_only,50
1220,145,Quercus castaneifolia,match,
1221,145,Crataegus microphylla,match,
1222,145,Viola odorata,match,
1223,145,Juniperus communis,match,
1224,145,Amygdalus spinosissima,match,
1225,145,Galium verum,match,
1226,145,Carex halleriana,match,
1227,145,Agropyron cristatum,match,
1228,145,Fumana procumbens,match,
1229,145,Echinops koelzii,match,
1230,145,Convolvulus lineatus,match,
1231,145,Vincetoxicum scandens,match,
1232,145,Bothriochloa ischaemum,match,
1233,145,Stachys subaphylla,match,
1234,145,Euphorbia falcata,match,
1235,145,Silene sp.,match,
1236,145,Verbascum cheiranthifolium,match,
1237,145,Allium fibrosum,match,
1238,145,Rosa canina,match,
1239,145,Ziziphora clinopodioides,match,
1240,145,Cerasus microcarpa,match,
1241,145,Stipa bromoides,match,
1242,145,Rumex tuberosus,match,
1243,145,Poa bulbosa,match,
1244,145,Astragalus jolderensis,match,
1245,145,Centaurea virgata,match,
1246,145,Dactylis glomerata,match,
1247,145,Cotoneaster nummularius,match,
1248,145,Teucrium polium,match,
1249,145,Elymus repens,match,
1250,145,Hypericum scabrum,match,
1251,145,Artemisia kopetdaghensis,fac_only,
1252,145,Ephedra major ,fac_only,
1253,145,Verbascum sp.,fac_only,
1254,145,Rochelia disperma,fac_only,
1255,145,Agropyron trichophorum,fac_only,
1256,145,Leontodon asperrimus ,fac_only,55
1257,145,Paliurus spina-christi ,fac_only,54
1258,145,Tragopogon graminifolius,fac_only,
1259,145,Cirsium arvensis,fac_only,
1260,145,Convolvulus arvensis,fac_only,
1261,145,Haplophylum,fac_only,
1262,145,Thymus transcaspius,fac_only,57
1263,145,Bromus tectorum,fac_only,
1264,145,Dracocephalum kotschy,fac_only,56
1265,145,Cynodon dactylon,fac_only,
1266,145,Buffonia oliveriana,fac_only,53
1267,145,Acinos graveolens,fac_only,
1268,145,Artemisia scoparia,fac_only,
1269,145,1,fac_only,
1270,145,Stachys inflata,fac_only,
1271,145, Allium fibrosum,fac_only,
1272,145,Stipa arabica,fac_only,
1273,145,Centaurea sintenisiana,fac_only,
1274,145,Alyssopsis mollis,fac_only,
1275,145,Eremurus stenophyllus ,fac_only,
1276,145,Phlomis cancellata,fac_only,
1277,145,Hymenocrater elegans,fac_only,
1278,145,Lactuca serriola,fac_only,
1279,145,Acanthophyllum sp.,fac_only,
1280,145,Colutea buhsei,fac_only,
1281,145,Rosa persica,fac_only,
1282,145,Noaea mucronata,fac_only,
1283,145,Onobrychis melano,fac_only,
1284,145,Convolvolus comotados,fac_only,
1285,145,Cousinia stahliana,fac_only,
1286,145,Hypericum scab,fac_only,
1287,145,Ziziphora persica,fac_only,
1288,145,Rhamnus pallasii ,fac_only,52
1289,145,Cleistogenes seratina,fac_only,51
1290,145,Cirsium sp.,FT_only,
1291,145,Cleistogenes serotina,FT_only,51
1292,145,Melica persica,FT_only,
1293,145,Acer monspessulanum,FT_only,
1294,145,Juniperus excelsa,FT_only,
1295,145,Stachys turcomanica,FT_only,
1296,145,Rhamnus pallasii,FT_only,52
1297,145,Berberis integerrima,FT_only,
1298,145,Bufonia oliveriana,FT_only,53
1299,145,Centaurea iberica,FT_only,
1300,145,Origanum vulgare,FT_only,
1301,145,Paliurus spina-christi,FT_only,54
1302,145,Astragalus chrysostachys,FT_only,
1303,145,Leontodon asperrimus,FT_only,55
1304,145,Onosma dichroantha,FT_only,
1305,145,Dracocephalum kotschyi,FT_only,56
1306,145,Thymus transcaspicus,FT_only,57
1307,145,Anthemis triumfetti,FT_only,
1308,145,Plantago lanceolata,FT_only,
1309,146,Iris songarica,match,
1310,146,Polygonum aviculare,match,
1311,146,Hypericum scabrum,match,
1312,146,Sanguisorba minor,match,
1313,146,Rosa canina,match,
1314,146,Quercus castaneifolia,match,
1315,146,Crataegus microphylla,match,
1316,146,Stachys subaphylla,match,
1317,146,Anthemis triumfetti,match,
1318,146,Cirsium sp.,match,
1319,146,Dactylis glomerata,match,
1320,146,Achillea biebersteinii,match,
1321,146,Berberis integerrima,match,
1322,146,Echinops koelzii,match,
1323,146,Teucrium polium,match,
1324,146,Melica ciliata,match,
1325,146,Vincetoxicum scandens,match,
1326,146,Salvia sclarea,match,
1327,146,Galium verum,match,
1328,146,Cerasus microcarpa,match,
1329,146,Eryngium caucasicum,match,
1330,146,Stipa bromoides,match,
1331,146,Allium fibrosum,match,
1332,146,Cotoneaster nummularius,match,
1333,146,Rumex tuberosus,match,
1334,146,Poa bulbosa,match,
1335,146,Colutea buhsei,match,
1336,146,Alyssopsis mollis,match,
1337,146,Euphorbia falcata,match,
1338,146,Centaurea sintenisiana,match,
1339,146,Bothriochloa ischaemum,match,
1340,146,Agropyron cristatum,match,
1341,146,Centaurea virgata,match,
1342,146,Cousinia stahliana,match,
1343,146,celtis,fac_only,
1344,146,Verbascum sp.,fac_only,
1345,146,Stachys turcomanica,fac_only,
1346,146,Thymus transcaspius,fac_only,59
1347,146,Acinos graveolens,fac_only,
1348,146,Elymus repens,fac_only,
1349,146,Tragopogon vedenskyi,fac_only,
1350,146,Lonicera nummulariifolia,fac_only,
1351,146,onobrochis,fac_only,
1352,146,Aractium  lappal,fac_only,
1353,146,Cirsium arvensis,fac_only,
1354,146,Lappula barbata,fac_only,
1355,146, Allium fibrosum,fac_only,
1356,146,Callipeltis cucullaria,fac_only,
1357,146,Artemisia kopetdaghensis,fac_only,
1358,146,Lactuca serriola,fac_only,
1359,146,Ziziphora clinopodioides,fac_only,
1360,146,Dracocephalum kotschy,fac_only,58
1361,146,Cleistogenes seratina,fac_only,61
1362,146,Hymenocrater elegans,fac_only,
1363,146,Serratula latifolia,fac_only,
1364,146,Avena sterilis,fac_only,
1365,146,onobrochis melanotrica,fac_only,
1366,146,Fumana procumbens,fac_only,
1367,146,Acer monspessulanum  seedling,fac_only,60
1368,146,Taraxacum montanum,fac_only,
1369,146,skrozorera,fac_only,
1370,146,Dianthus polylepis,FT_only,
1371,146,Dracocephalum kotschyi,FT_only,58
1372,146,Asteracea sp.,FT_only,
1373,146,Bromus kopetdagensis,FT_only,
1374,146,Artemisia scoparia,FT_only,
1375,146,Verbascum cheiranthifolium,FT_only,
1376,146,Bromus japonicus,FT_only,
1377,146,Silene sp.,FT_only,
1378,146,Rhamnus pallasii,FT_only,
1379,146,Thymus transcaspicus,FT_only,59
1380,146,Acer monspessulanum,FT_only,60
1381,146,Scabiosa columbaria,FT_only,
1382,146,Cleistogenes serotina,FT_only,61
1383,146,Pterocephalus plumosus,FT_only,
1384,146,Potentilla recta,FT_only,
1385,146,Origanum vulgare,FT_only,
1386,146,Arctium lappa,FT_only,
1387,147,Carex stenophylla,match,
1388,147,Pistacia vera,match,
1389,147,Kochia prostrata,fac_only,
1390,147,Noaea mucronata,fac_only,
1391,147,Astragalus verus,fac_only,
1392,147,Salvia chloroleuca,FT_only,
1393,148,Ephedra foliata,match,
1394,148,Carex stenophylla,match,
1395,148,Phlomoides labiosa,match,
1396,148,Salsola dendroides,match,
1397,148,Noaea mucronata,match,
1398,148,Kochia prostrata,match,
1399,148,Centaurea virgata,match,
1400,148,Pistacia vera,match,
1401,148,Artemisia kopetdaghensis,match,
1402,148,Rosa persica,match,
1403,148,Zygophyllum atriplicoides,match,
1404,148,Khochia protate,fac_only,
1405,148,Bunium cylindricum,fac_only,
1406,148,Amygdalus spinosissima,fac_only,
1407,148,Astragalus brevidens,fac_only,
1408,148,Teucrium polium,fac_only,
1409,148,Stachys lavandulifolia,fac_only,
1410,148,Callipeltis cucullaria,fac_only,
1411,148,Linaria simplex,fac_only,
1412,148,Allium sp.,fac_only,
1413,148,Velezia rigida,fac_only,
1414,148,Koelpinia linearis,fac_only,
1415,148,Elymus repens,FT_only,
1416,148,Onobrychis chorassanica,FT_only,
1417,148,Onobrychis verae,FT_only,
1418,148,Cousinia microcarpa,FT_only,
1419,148,Eremodaucus lehmannii,FT_only,
1420,148,Stachys turcomanica,FT_only,
1421,148,Eremostachis labiosa,FT_only,
1422,149,Cousinia microcarpa,match,
1423,149,Haplophyllum acutifolium,match,
1424,149,Centaurea virgata,match,
1425,149,Pistacia vera,match,
1426,149,Ephedra foliata,match,
1427,149,Onobrychis chorassanica,match,
1428,149,Zygophyllum atriplicoides,match,
1429,149,Bunium cylindricum,match,
1430,149,Artemisia kopetdaghensis,match,
1431,149,Carex stenophylla,match,
1432,149,Onobrychis radiata,fac_only,
