ID,spname,position,,
173,18,Nassella longiglumis,fac_only,
174,18,Nassella chilensis,fac_only,
175,18,Prosopis flexuosa var. depressa,fac_only,27
176,18,Aristida mendocina,fac_only,
177,18,Senecio melanopotamicus,fac_only,
178,18,Trichocline sinuata,fac_only,
179,18,Bredemeyera microphylla,fac_only,
180,18,Junellia seriphioides,fac_only,
181,18,Boopis anthemoides,fac_only,
182,18,Baccharis 3,fac_only,
183,18,Cereus ethiops,fac_only,
184,18,Poa ligularis,fac_only,
185,18,Hoffmannseggia trifoliata,fac_only,
186,18,Abyssinica SIL,fac_only,
187,18,musgo,fac_only,
188,18,Prosopis flexuosa var. Depressa,FT_only,27
189,18,Capparis atamisquea,FT_only,
190,18,Prosopis flexuosa,FT_only,27
191,19,Larrea divaricata,match,
192,19,Larrea cuneifolia,match,
193,19,Schinus johnstonii,match,
194,19,Mulguraea aspera,match,
195,19,Nassella tenuis,match,
196,19,Lycium chilense,match,
197,19,Pappostipa speciosa,match,
198,19,Boopis anthemoides,match,
199,19,Nassella longiglumis,match,
200,19,Tetraglochin caespitosum,match,
201,19,Gutierrezia baccharoides,match,
202,19,Poa ligularis,match,
203,19,Bougainvillea spinosa,match,
204,19,Acantholippia seriphioides,match,
205,19,Monttea aphylla,match,
206,19,Thymophylla pentachaeta ,fac_only,
207,19,Chuquiraga erinacea subsp. hystrix,fac_only,28
208,19,Junellia seriphioides,fac_only,
209,19,Poa lanuginosa,fac_only,
210,19,Ephedra ochreata,fac_only,
211,19,Lycium gilliesianum,fac_only,
212,19,Tristagma patagonicum,fac_only,
213,19,Echinopsis leucantha,fac_only,
214,19,Hoffmannseggia trifoliata,fac_only,
215,19,Margyricarpus pinnatus,fac_only,
216,19,Senecio melanopotamicus,fac_only,
217,19,Senecio subulatus,FT_only,
218,19,Chuquiraga erinacea hystrix,FT_only,28
219,19,Prosopis denudans,FT_only,
220,19,Condalia microphylla,FT_only,
221,19,Prosopis flexuosa,FT_only,
222,19,Prosopis alpataco,FT_only,
223,20,Ephedra ochreata,match,
224,20,Gutierrezia baccharoides,match,
225,20,Lycium chilense,match,
226,20,Nassella tenuis,match,
227,20,Larrea divaricata,match,
228,20,Sphaeralcea mendocina,match,
229,20,Monttea aphylla,match,
230,20,Poa ligularis,match,
231,20,Schinus johnstonii,match,
232,20,Acantholippia seriphioides,match,
233,20,Pappostipa speciosa,match,
234,20,Poa lanuginosa,match,
235,20,Senecio melanopotamicus,fac_only,
236,20,Junellia seriphioides,fac_only,
237,20,Mulguraea aspera,fac_only,
238,20,Boopis anthemoides,fac_only,
239,20,Nassella longiglumis,fac_only,
240,20,Tetraglochin caespitosum,fac_only,
241,20,Prosopis flexuosa var. depressa,fac_only,30
242,20,Chuquiraga erinacea subsp. hystrix,fac_only,29
243,20,Nassella chilensis,fac_only,
244,20,Hoffmannseggia trifoliata,fac_only,
245,20,Grindelia spp.,fac_only,
246,20,Larrea cuneifolia,FT_only,
247,20,Chuquiraga erinacea hystrix,FT_only,29
248,20,Condalia microphylla,FT_only,
249,20,Larrea nitida,FT_only,
250,20,Lycium gilliesianum,FT_only,
251,20,Prosopis flexuosa,FT_only,30
252,20,Cyclolepis genistoides,FT_only,
253,21,Poa lanuginosa,match,
254,21,Jarava neaei,match,
255,21,Ephedra ochreata,match,
256,21,Lycium chilense,match,
257,21,Monttea aphylla,match,
258,21,Tetraglochin caespitosum,match,
259,21,Nassella tenuis,match,
260,21,Senna aphylla,match,
261,21,Larrea divaricata,match,
262,21,Gutierrezia baccharoides,match,
263,21,Acantholippia seriphioides,match,
264,21,Pappostipa speciosa,match,
265,21,Chuquiraga erinacea subsp. hystrix,fac_only,31
266,21,Junellia seriphioides,fac_only,
267,21,Senecio melanopotamicus,fac_only,
268,21,Boopis anthemoides,fac_only,
269,21,Prosopis flexuosa var. depressa,fac_only,32
270,21,Grindelia chiloensis,fac_only,
271,21,Baccharis gilliesii,fac_only,
272,21,Poa ligularis,fac_only,
273,21,Mulguraea aspera,fac_only,
274,21,Thymophylla pentachaeta ,fac_only,
275,21,Cyclolepis genistoides,FT_only,
276,21,Chuquiraga erinacea hystrix,FT_only,31
277,21,Margyricarpus pinnatus,FT_only,
278,21,Condalia microphylla,FT_only,
279,21,Schinus johnstonii,FT_only,
280,21,Prosopis flexuosa,FT_only,32
281,40,Maireana pyramidata,match,
282,40,Lotus cruentus,match,
283,40,Sclerolaena ventricosa,match,
284,40,Maireana turbinata,match,
285,40,Minuria cunninghamii,match,
286,40,Sclerolaena brachyptera,match,
287,40,Atriplex vesicaria,match,
288,40,Sclerolaena divaricata,match,
289,40,Sida fibulifera,match,
290,40,Sclerolaena lanicuspis,match,
291,40,Sida corrugata,match,
292,40,Minuria leptophylla,fac_only,
293,40,Eragrostis dielsii,fac_only,
294,40,Sclerolaena eriacantha,FT_only,
295,40,Sclerolaena decurrens,FT_only,
296,40,Malacocera tricornis,FT_only,
297,40,Anemocarpa podolepidium,FT_only,
298,40,Sclerolaena bicornis,FT_only,
299,40,Solanum sp.,FT_only,
300,40,Sporobolus actinocladus,FT_only,
301,41,Enneapogon avenaceus,match,
302,41,Sclerolaena obliquicuspis,match,
303,41,Maireana pyramidata,match,
304,41,Sclerolaena patenticuspis,match,
305,41,Stipa scabra,fac_only,33
306,41,Solanum quadriloculatum,fac_only,
307,41,Austrostipa scabra,FT_only,33
308,41,Enteropogon acicularis,FT_only,
309,41,Eragrostis setifolia,FT_only,
310,41,Austrodanthonia caespitosa,FT_only,
311,41,Lotus cruentus,FT_only,
312,42,Sclerolaena brachyptera,match,
